CP, 01, 2026081212, 03,  CMC,  18, 152N, 1435W,  36, 1002, XX,  34, NEQ,    0,  125,    0,    0, 
CP, 01, 2026081212, 03,  CMC,  24, 157N, 1443W,  37, 1000, XX,  34, NEQ,  191,  179,    0,  121, 
CP, 01, 2026081212, 03,  CMC,  30, 160N, 1453W,  38, 1001, XX,  34, NEQ,  227,    0,    0,  120, 
CP, 01, 2026081212, 03,  CMC,  36, 160N, 1465W,  37, 1000, XX,  34, NEQ,  192,    0,    0,  138, 
CP, 01, 2026081212, 03,  CMC,  42, 160N, 1474W,  32, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03,  CMC,  48, 165N, 1488W,  33, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03,  CMC,  54, 165N, 1500W,  35, 1002, XX,  34, NEQ,  159,    0,    0,    0, 
CP, 01, 2026081212, 03,  CMC,  60, 167N, 1509W,  37, 1001, XX,  34, NEQ,  130,    0,    0,  115, 
CP, 01, 2026081212, 03,  CMC,  66, 174N, 1517W,  41, 1002, XX,  34, NEQ,  137,    0,    0,  113, 
CP, 01, 2026081212, 03,  CMC,  72, 176N, 1529W,  39, 1001, XX,  34, NEQ,  103,    0,    0,  102, 
CP, 01, 2026081212, 03,  CMC,  78, 177N, 1540W,  39, 1002, XX,  34, NEQ,  122,    0,    0,   75, 
CP, 01, 2026081212, 03,  CMC,  84, 173N, 1550W,  41, 1002, XX,  34, NEQ,    0,    0,    0,  198, 
CP, 01, 2026081212, 03,  CMC,  90, 175N, 1557W,  41, 1003, XX,  34, NEQ,   75,    0,    0,   80, 
CP, 01, 2026081212, 03,  CMC,  96, 179N, 1565W,  35, 1003, XX,  34, NEQ,   54,    0,    0,    0, 
CP, 01, 2026081212, 03,  CMC, 102, 185N, 1572W,  37, 1004, XX,  34, NEQ,   63,    0,    0,    0, 
CP, 01, 2026081212, 03,  CMC, 108, 193N, 1582W,  34, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03,  CMC, 114, 199N, 1594W,  37, 1005, XX,  34, NEQ,   50,    0,    0,   47, 
CP, 01, 2026081212, 03,  CMC, 120, 203N, 1609W,  36, 1005, XX,  34, NEQ,    0,    0,    0,   51, 
CP, 01, 2026081212, 03,  CMC, 126, 207N, 1623W,  34, 1005, XX,  34, NEQ,   36,    0,    0,    0, 
CP, 01, 2026081212, 03,  CMC, 132, 210N, 1639W,  35, 1004, XX,  34, NEQ,   45,    0,    0,    0, 
CP, 01, 2026081212, 03,  CMC, 138, 213N, 1657W,  36, 1004, XX,  34, NEQ,   49,    0,    0,   36, 
CP, 01, 2026081212, 03,  CMC, 144, 214N, 1675W,  38, 1004, XX,  34, NEQ,   50,    0,    0,   29, 
CP, 01, 2026081212, 03,  CMC, 150, 215N, 1689W,  41, 1004, XX,  34, NEQ,   53,    0,    0,   39, 
CP, 01, 2026081212, 03,  CMC, 156, 216N, 1706W,  37, 1004, XX,  34, NEQ,   59,    0,    0,   58, 
CP, 01, 2026081212, 03,  CMC, 162, 216N, 1722W,  40, 1004, XX,  34, NEQ,   66,    0,    0,   61, 
CP, 01, 2026081212, 03,  CMC, 168, 216N, 1738W,  38, 1005, XX,  34, NEQ,   63,    0,    0,   57, 
CP, 01, 2026081212, 03,  CMC, 174, 218N, 1753W,  35, 1006, XX,  34, NEQ,   48,    0,    0,    0, 
CP, 01, 2026081212, 03,  CMC, 180, 218N, 1770W,  31, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03,  CMC, 186, 218N, 1787W,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03,  CMC, 192, 218N, 1796E,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03,  CMC, 198, 216N, 1780E,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03,  UKX,   0, 139N, 1423W,  28,    0, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03,  UKX,   6, 137N, 1433W,  30,    0, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03,  UKX,  12, 139N, 1436W,  32,    0, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03,  UKX,  18, 146N, 1443W,  35,    0, XX,  34, NEQ,  124,    0,    0,    0, 
CP, 01, 2026081212, 03,  UKX,  24, 154N, 1453W,  37,    0, XX,  34, NEQ,  132,    0,    0,  101, 
CP, 01, 2026081212, 03,  UKX,  30, 155N, 1467W,  37,    0, XX,  34, NEQ,  169,    0,    0,  121, 
CP, 01, 2026081212, 03,  UKX,  36, 159N, 1476W,  37,    0, XX,  34, NEQ,  143,    0,    0,  127, 
CP, 01, 2026081212, 03,  UKX,  42, 164N, 1486W,  37,    0, XX,  34, NEQ,  128,    0,    0,  115, 
CP, 01, 2026081212, 03,  UKX,  48, 168N, 1499W,  37,    0, XX,  34, NEQ,  110,    0,    0,   80, 
CP, 01, 2026081212, 03,  UKX,  54, 173N, 1510W,  38,    0, XX,  34, NEQ,  117,    0,    0,  118, 
CP, 01, 2026081212, 03,  UKX,  60, 176N, 1523W,  38,    0, XX,  34, NEQ,  116,    0,    0,  137, 
CP, 01, 2026081212, 03,  UKX,  66, 179N, 1534W,  40,    0, XX,  34, NEQ,  131,    0,    0,  229, 
CP, 01, 2026081212, 03,  UKX,  72, 182N, 1544W,  39,    0, XX,  34, NEQ,  130,    0,    0,  172, 
CP, 01, 2026081212, 03,  UKX,  78, 188N, 1551W,  42,    0, XX,  34, NEQ,   95,    0,    0,  136, 
CP, 01, 2026081212, 03,  UKX,  84, 197N, 1568W,  45,    0, XX,  34, NEQ,  129,    0,    0,  108, 
CP, 01, 2026081212, 03,  UKX,  90, 201N, 1582W,  40,    0, XX,  34, NEQ,   86,  119,    0,  102, 
CP, 01, 2026081212, 03,  UKX,  96, 205N, 1595W,  38,    0, XX,  34, NEQ,  102,    0,    0,   62, 
CP, 01, 2026081212, 03,  UKX, 102, 209N, 1610W,  39,    0, XX,  34, NEQ,  123,    0,    0,  115, 
